Time (s),PL (norm.),QFLS (eV),tau_diff(s)
1.0000036547467674,3.684755450649912e+27,1.0819146191855182,3.6557005144527607e-06
1.0000037233777157,3.5503639355076654e+27,1.0809541499759285,3.73133686612416e-06
1.000003792008664,3.42339126223303e+27,1.080012696408703,3.8052066699836835e-06
1.0000038606396122,3.30324679546038e+27,1.0790891488894876,3.877892231018995e-06
1.0000039292705605,3.189421795356739e+27,1.0781826521086355,3.949880614238575e-06
1.000003996770574,3.083195019207147e+27,1.0773069949353957,4.020159157034424e-06
1.0000040642705876,2.9822501855290393e+27,1.0764464593034662,4.090055724889261e-06
1.0000041317706012,2.8862342345875224e+27,1.075600472610625,4.159711826913329e-06
1.0000041992706148,2.794825734996373e+27,1.0747685134037235,4.2291002485475025e-06
1.0000042842287946,2.6858724278282347e+27,1.0737405702567124,4.316238389988973e-06
1.0000043691869744,2.58321879895034e+27,1.0727331727128677,4.403345509401078e-06
1.0000044541451543,2.486384315547747e+27,1.071745492739442,4.490351390409601e-06
1.000004539103334,2.394933744021713e+27,1.0707767521874398,4.57719330509465e-06
1.000004632974216,2.29967552846443e+27,1.0697275240066393,4.673017730786586e-06
1.000004726845098,2.210025742936132e+27,1.068699588085563,4.768810538483064e-06
1.00000482071598,2.1255501936043855e+27,1.0676920846450846,4.86453390682758e-06
1.000004914586862,2.0458558030777483e+27,1.066704201710683,4.9601392751932874e-06
1.0000050130011267,1.967049402431223e+27,1.0656887348049326,5.06027223275468e-06
1.0000051114153914,1.8927343606495322e+27,1.06469315800338,5.160363652247498e-06
1.0000052098296561,1.8225742106071822e+27,1.0637166976934609,5.260396914550062e-06
1.0000053082439209,1.7562633176288838e+27,1.062758621732405,5.3603358630205434e-06
1.0000054099046272,1.6915117882084376e+27,1.061787509302631,5.463491974301754e-06
1.0000055115653335,1.6302923111167014e+27,1.060834554904186,5.566611093309715e-06
1.0000056132260398,1.572351610354627e+27,1.059899084999624,5.669681733866996e-06
1.000005714886746,1.5174586480092654e+27,1.058980460764968,5.772690713046891e-06
1.0000058165474524,1.4654023250508742e+27,1.0580780756650625,5.875639138186852e-06
1.0000059182081587,1.4159897019391926e+27,1.0571913577539143,5.9785419422606984e-06
1.000006019868865,1.3690441188564672e+27,1.0563197667369795,6.080909531001227e-06
1.0000061343673978,1.3189151052527837e+27,1.0553554400553404,6.19637024454306e-06
1.0000062488659307,1.2715027637842638e+27,1.054409034190929,6.3124313194916125e-06
1.0000063633644636,1.2266111367339936e+27,1.0534798384536137,6.427953012805758e-06
1.0000064870470278,1.1807440695984737e+27,1.052494646857077,6.552511456493143e-06
1.000006610729592,1.1374089291771938e+27,1.0515280262435232,6.6772550647768834e-06
1.0000067344121562,1.0964228715458565e+27,1.0505792981481434,6.8019441116519965e-06
1.0000068718937527,1.0534181201882276e+27,1.0495449294197572,6.940723908371993e-06
1.0000070093753493,1.0129036398192073e+27,1.048531075628779,7.079561005966459e-06
1.0000071468569458,9.746880525686027e+26,1.0475368745420834,7.218044147549379e-06
1.0000072677967624,9.428333481673386e+26,1.0466778992752561,7.339499522972879e-06
1.000007388736579,9.125160939712789e+26,1.0458329898620506,7.461141256904123e-06
1.0000075096763956,8.836423278107769e+26,1.0450017936547213,7.583425089945105e-06
1.0000076357045065,8.549938168732675e+26,1.0441497928543588,7.710928545304747e-06
1.0000077617326173,8.277208946850652e+26,1.043311749362865,7.837950267712442e-06
1.0000078877607281,8.01734387440092e+26,1.0424871373988138,7.96450272998122e-06
1.0000080097299493,7.77733899554303e+26,1.041701449738755,8.086965116811298e-06
1.0000081316991705,7.547967949926727e+26,1.040927577642661,8.209725080387591e-06
1.0000082536683916,7.328622313114745e+26,1.0401652100690832,8.332477065905485e-06
1.00000841285983,7.056465500792867e+26,1.0391869240183054,8.493809607632418e-06
1.0000084526576898,6.990804961902804e+26,1.0389452538721478,8.53350822221271e-06
1.0000084924555495,6.926048333175894e+26,1.0387046771188337,8.573024519240128e-06
1.0000085322534091,6.862191364269501e+26,1.038465229830161,8.613312713522444e-06
1.0000085869299715,6.775896888059874e+26,1.03813808305779,8.6685602373229e-06
1.000008641606534,6.691225274588944e+26,1.0378130136486425,8.723719608875715e-06
1.0000086962830963,6.608134843351305e+26,1.0374899907862898,8.778443343037071e-06
1.0000088307034984,6.410321230607954e+26,1.0367043256838073,8.913070255843804e-06
1.0000089651239006,6.221284331982247e+26,1.0359305273394455,9.048478599454019e-06
1.0000090995443027,6.040501641327767e+26,1.035168199238862,9.183403699369518e-06
1.0000092224326516,5.88203824310194e+26,1.034480983496506,9.30639636296717e-06
1.0000093453210004,5.7297287195193025e+26,1.03380277847589,9.429582926267224e-06
1.0000094682093492,5.5832692012640316e+26,1.0331334003720136,9.553248179499665e-06
1.0000096029971373,5.429009940917461e+26,1.0324091148817607,9.689074598578815e-06
1.0000097377849253,5.2810725695046235e+26,1.0316949145503915,9.82461819642764e-06
1.0000098725727133,5.1391064302465204e+26,1.0309904748739729,9.95967527909827e-06
1.0000099984085722,5.011673568486503e+26,1.030341374019048,1.0085610515697795e-05
1.000010124244431,4.888923478482883e+26,1.0297003267835165,1.0211842607516739e-05
1.0000102500802899,4.770636514300794e+26,1.0290671738919979,1.0338333851096131e-05
1.000010404317318,4.6314290372467934e+26,1.0283016154157778,1.0493602988023222e-05
1.000010558554346,4.498243355949042e+26,1.0275473216862803,1.0648738125958316e-05
1.000010712791374,4.370726327670833e+26,1.0268039050337003,1.0803071995132446e-05
1.0000108200684028,4.285199735977801e+26,1.0262930365581386,1.0909704219068395e-05
1.0000109273454316,4.2021508599726804e+26,1.025787115424659,1.1016929302181124e-05
1.0000110346224604,4.121500434007601e+26,1.0252861431141125,1.1126179280326031e-05
1.0000110841504635,4.0850528720356885e+26,1.0250565187920733,1.1176641592898048e-05
1.0000111336784665,4.04908827977514e+26,1.0248279201691457,1.1226469756405621e-05
1.0000111832064695,4.013596831640694e+26,1.024600329648321,1.127593940802104e-05
1.0000112778139612,3.9470856080807705e+26,1.0241683511936241,1.1370505236473587e-05
1.0000113724214528,3.882215847065188e+26,1.0237399639161149,1.1465417669523929e-05
1.0000114670289444,3.818933813781459e+26,1.0233151076969365,1.1559777659098357e-05
1.000011671301927,3.687463696304882e+26,1.0224094851045402,1.1765284446747874e-05
1.0000117223701726,3.655661029422343e+26,1.0221855652032439,1.181634034644799e-05
